"uri","date","title","uin"
"http://data.parliament.uk/resources/856870","2018-03-07","Draft Transparency of Donations and Loans etc. (Northern Ireland Political Parties) Order 2018","CD:2018-03-07:393"
"http://data.parliament.uk/resources/856871","2018-03-07","Draft Passport (Fees) Regulations 2018","CD:2018-03-07:394"
"http://data.parliament.uk/resources/851481","2018-02-28","Middle Level Bill: Report Stage Amdt 14","CD:2018-02-28:392"
"http://data.parliament.uk/resources/845870","2018-02-21","Finance (No. 2) Bill: Report Stage New Clause 9","CD:2018-02-21:385"
"http://data.parliament.uk/resources/845878","2018-02-21","Finance (No. 2) Bill Report Stage: New Clause 3","CD:2018-02-21:386"
"http://data.parliament.uk/resources/845879","2018-02-21","Finance (No.2) Bill: Report Stage Amendment 3","CD:2018-02-21:387"
"http://data.parliament.uk/resources/845884","2018-02-21","Finance (No 2) Bill: Report Stage New Clause 7 ","CD:2018-02-21:388"
"http://data.parliament.uk/resources/845885","2018-02-21","Finance (No 2) Bill: Report Stage New Clause 10 ","CD:2018-02-21:389"
"http://data.parliament.uk/resources/845886","2018-02-21","Finance (No 2) Bill: Report Stage Amdt 10","CD:2018-02-21:390"
"http://data.parliament.uk/resources/845909","2018-02-21","Finance (No 2) Bill: Third Reading","CD:2018-02-21:391"
"http://data.parliament.uk/resources/838186","2018-02-07","Police Grant Report (England and Wales) 2018-19","CD:2018-02-07:383"
"http://data.parliament.uk/resources/838200","2018-02-07","Report on Local Government Finance (England) 2018-19","CD:2018-02-07:384"
"http://data.parliament.uk/resources/837689","2018-02-06","Space Industry Bill: Report Stage New Clause 4","CD:2018-02-06:381"
"http://data.parliament.uk/resources/837690","2018-02-06","Space Industry Bill: Report Stage Amdt 1","CD:2018-02-06:382"
"http://data.parliament.uk/resources/834153","2018-01-31","Draft Double Taxation Relief and International Tax Enforcement (Lesotho) Order 2017","CD:2018-01-31:377"
"http://data.parliament.uk/resources/834160","2018-01-31","Restoration and Renewal (No. 1) amdt (c)","CD:2018-01-31:378"
"http://data.parliament.uk/resources/834163","2018-01-31","Restoration and Renewal (No. 1) (as amended)","CD:2018-01-31:380"
"http://data.parliament.uk/resources/834374","2018-01-31","Restoration and Renewal (No. 1) amdt (b)","CD:2018-01-31:379"
"http://data.parliament.uk/resources/833250","2018-01-30","High Speed Rail (West Midlands - Crewe) Bill: Second Reading","CD:2018-01-30:376"
"http://data.parliament.uk/resources/828384","2018-01-23","Nuclear Safeguards Bill: Report Stage New Clause 1","CD:2018-01-23:373"
"http://data.parliament.uk/resources/828386","2018-01-23","Nuclear Safeguards Bill: Report Stage Amdt 5","CD:2018-01-23:374"
"http://data.parliament.uk/resources/828389","2018-01-23","Electoral Commission","CD:2018-01-23:375"
"http://data.parliament.uk/resources/824363","2018-01-17","European Union (Withdrawal) Bill: Report Stage New Clause 1","CD:2018-01-17:363"
"http://data.parliament.uk/resources/824364","2018-01-17","European Union Withdrawal Bill: Report Stage New Clause 6 ","CD:2018-01-17:364"
"http://data.parliament.uk/resources/824365","2018-01-17","European Union (Withdrawal) Bill: Report Stage: New Clause 11","CD:2018-01-17:365"
"http://data.parliament.uk/resources/824368","2018-01-17","European Union (Withdrawal) Bill: Report Stage: New Clause 12","CD:2018-01-17:366"
"http://data.parliament.uk/resources/824369","2018-01-17","European Union (Withdrawal) Bill: Report Stage: New Clause 17","CD:2018-01-17:367"
"http://data.parliament.uk/resources/824370","2018-01-17","European Union (Withdrawal) Bill: Report Stage: Amdt 59","CD:2018-01-17:369"
"http://data.parliament.uk/resources/824372","2018-01-17","European Union (Withdrawal) Bill: Report Stage: Amendment 2","CD:2018-01-17:368"
"http://data.parliament.uk/resources/824373","2018-01-17","European Union (Withdrawal) Bill: Report Stage: Amdt 1","CD:2018-01-17:370"
"http://data.parliament.uk/resources/824378","2018-01-17","European Union (Withdrawal) Bill: Third Reading: Mr Blackford's amendment","CD:2018-01-17:371"
"http://data.parliament.uk/resources/824379","2018-01-17","European Union (Withdrawal) Bill: Third Reading","CD:2018-01-17:372"
"http://data.parliament.uk/resources/823320","2018-01-16","European Union (Withdrawal) Bill: Report Stage: Amendment 57","CD:2018-01-16:358"
"http://data.parliament.uk/resources/823321","2018-01-16","European Union (Withdrawal) Bill: Report Stage: New Clause 7","CD:2018-01-16:360"
"http://data.parliament.uk/resources/823322","2018-01-16","European Union (Withdrawal) Bill: Report Stage: Amdt 4","CD:2018-01-16:359"
"http://data.parliament.uk/resources/823331","2018-01-16","European (Withdrawal) Bill: Report Stage Amdts 21-29","CD:2018-01-16:361"
"http://data.parliament.uk/resources/823332","2018-01-16","EU (Withdrawal) Bill: Report Stage Amdt 3","CD:2018-01-16:362"
"http://data.parliament.uk/resources/818946","2018-01-09","Trade Bill: Second Reading: Mr Corbyn's amendment","CD:2018-01-09:356"
"http://data.parliament.uk/resources/818948","2018-01-09","Trade Bill: Second Reading","CD:2018-01-09:357"
"http://data.parliament.uk/resources/818647","2018-01-08","Taxation (Cross-Border Trade) Bill Second Reading: Jeremy Corbyn's amendment ","CD:2018-01-08:354"
"http://data.parliament.uk/resources/818649","2018-01-08","Taxation (Cross-Border Trade): Second Reading","CD:2018-01-08:355"
"http://data.parliament.uk/resources/809953","2017-12-20","Draft Local Authorities (Mayoral Elections) (England and Wales) (Amendment) Regulations 2017","CD:2017-12-20:346"
"http://data.parliament.uk/resources/809954","2017-12-20","Draft Combined Authorities (Mayoral Elections) (Amendment) Order 2017","CD:2017-12-20:347"
"http://data.parliament.uk/resources/809988","2017-12-20","European Union (Withdrawal) Bill: Committee of the whole House New Clause 13","CD:2017-12-20:348"
"http://data.parliament.uk/resources/809989","2017-12-20","European Union (Withdrawal) Bill: Committee of the whole House Amdts 381 and 399","CD:2017-12-20:349"
"http://data.parliament.uk/resources/809990","2017-12-20","European Union (Withdrawal) Bill: Committee of the whole House Amdt 349","CD:2017-12-20:350"
"http://data.parliament.uk/resources/810044","2017-12-20","European Union (Withdrawal) Bill: Committee of the whole House New Clause 44","CD:2017-12-20:351"
"http://data.parliament.uk/resources/810045","2017-12-20","European Union (Withdrawal) Bill: Committee of the whole House New Clause 54","CD:2017-12-20:352"
"http://data.parliament.uk/resources/810046","2017-12-20","European Union (Withdrawal) Bill: Committee of the whole House Amdt 120","CD:2017-12-20:353"
"http://data.parliament.uk/resources/809139","2017-12-19","Finance (No 2) Bill: Committee of the whole House: New Clause 6","CD:2017-12-19:344"
"http://data.parliament.uk/resources/809145","2017-12-19","Finance (No 2) Bill Committee of the whole House New Clause 8","CD:2017-12-19:345"
"http://data.parliament.uk/resources/808574","2017-12-18","Finance (No. 2) Bill: Committee of the whole House Schedule 9","CD:2017-12-18:341"
"http://data.parliament.uk/resources/808733","2017-12-18","Finance (No. 2) Bill: Committee of the whole House New Clause 1","CD:2017-12-18:342"
"http://data.parliament.uk/resources/808776","2017-12-18","Finance (No. 2) Bill: Committee of the whole House New Clause 4","CD:2017-12-18:343"
"http://data.parliament.uk/resources/805525","2017-12-13","European Union (Withdrawal) Bill: Committee of the whole House Amdt 7","CD:2017-12-13:335"
"http://data.parliament.uk/resources/805526","2017-12-13","European Union (Withdrawal) Bill: Committee of the whole House Amdt 30 ","CD:2017-12-13:336"
"http://data.parliament.uk/resources/805550","2017-12-13","European Union (Withdrawal) Bill: Committee of the whole House Amdt 241","CD:2017-12-13:337"
"http://data.parliament.uk/resources/805551","2017-12-13","European Union (Withdrawal) Bill: Committee of the whole House New Clause 1","CD:2017-12-13:338"
"http://data.parliament.uk/resources/806101","2017-12-13","European Union (Withdrawal) Bill: Committee of the whole House New Clause 22","CD:2017-12-13:339"
"http://data.parliament.uk/resources/806103","2017-12-13","European Union (Withdrawal) Bill: Committee of the whole House Amdt 26","CD:2017-12-13:340"
"http://data.parliament.uk/resources/805092","2017-12-12","European Union (Withdrawal) Bill: Committee of the whole House New Clause 63","CD:2017-12-12:330"
"http://data.parliament.uk/resources/805093","2017-12-12","European Union (Withdrawal) Bill: Committee of the whole House Amendment 49","CD:2017-12-12:331"
"http://data.parliament.uk/resources/805094","2017-12-12","European Union (Withdrawal) Bill: Committee of the whole House Amendment 124","CD:2017-12-12:332"
"http://data.parliament.uk/resources/805095","2017-12-12","European Union (Withdrawal) Bill: Committee of the whole House Amendment 158","CD:2017-12-12:333"
"http://data.parliament.uk/resources/805096","2017-12-12","European Union (Withdrawal) Bill: Committee of the whole House Amendment 25","CD:2017-12-12:334"
"http://data.parliament.uk/resources/804247","2017-12-11","Finance (No.2) Bill Second Reading: Jeremy Corbyn's amendment","CD:2017-12-11:328"
"http://data.parliament.uk/resources/804248","2017-12-11","Finance (No 2) Bill: Second Reading","CD:2017-12-11:329"
"http://data.parliament.uk/resources/801697","2017-12-06","European Union (Withdrawal) Bill Committee of the whole House Amendment 167","CD:2017-12-06:324"
"http://data.parliament.uk/resources/801727","2017-12-06","European Union (Withdrawal) Bill: Committee of the whole House New Clause 17","CD:2017-12-06:325"
"http://data.parliament.uk/resources/801729","2017-12-06","European Union (Withdrawal) Bill: Committee of the whole House New Clause 80","CD:2017-12-06:326"
"http://data.parliament.uk/resources/801730","2017-12-06","European Union (Withdrawal) Bill: Committee of the whole House Amdt 339","CD:2017-12-06:327"
"http://data.parliament.uk/resources/800480","2017-12-04","European Union (Withdrawal) Bill Committee of the whole House New Clause 64","CD:2017-12-04:320"
"http://data.parliament.uk/resources/800481","2017-12-04","European Union (Withdrawal) Bill Committee of the whole House Amendment 42","CD:2017-12-04:321"
"http://data.parliament.uk/resources/800482","2017-12-04","European Union (Withdrawal) Bill Committee of the whole House Amendment 72","CD:2017-12-04:322"
"http://data.parliament.uk/resources/800483","2017-12-04","European Union (Withdrawal) Bill Committee of the whole House Clause 11 and Schedule 3 stand part","CD:2017-12-04:323"
"http://data.parliament.uk/resources/798541","2017-12-01","Motion to sit in private","CD:2017-12-01:318"
"http://data.parliament.uk/resources/798552","2017-12-01","Closure Motion: Parliamentary Constituencies (Amendment Bill)","CD:2017-12-01:319"
"http://data.parliament.uk/resources/796706","2017-11-29","Opposition Motion: Women affected by state pension age increases","CD:2017-11-29:317"
"http://data.parliament.uk/resources/795657","2017-11-28","Budget resolutions motion 28: Bank levy","CD:2017-11-28:316"
"http://data.parliament.uk/resources/792888","2017-11-21","European Union (Withdrawal) Bill: Committee of the whole House New Clause 79","CD:2017-11-21:311"
"http://data.parliament.uk/resources/792889","2017-11-21","European Union (Withdrawal) Bill: Committee of the whole House Amdt 46","CD:2017-11-21:312"
"http://data.parliament.uk/resources/792890","2017-11-21","European Union (Withdrawal) Bill: Committee of the whole House Amdt 336","CD:2017-11-21:313"
"http://data.parliament.uk/resources/792945","2017-11-21","European Union (Withdrawal) Bill: Committee of the whole House Amdt 139","CD:2017-11-21:314"
"http://data.parliament.uk/resources/792946","2017-11-21","European Union (Withdrawal) Bill: Committee of the whole House Schedule 1","CD:2017-11-21:315"
"http://data.parliament.uk/resources/792581","2017-11-20","Cross-Border Trade Resolution: Amendment (e)","CD:2017-11-20:310"
"http://data.parliament.uk/resources/789396","2017-11-15","European Union (Withdrawal) Bill: Committee of the whole House New Clause 25","CD:2017-11-15:305"
"http://data.parliament.uk/resources/789397","2017-11-15","European Union (Withdrawal) Bill: Committee of the whole House New Clause 58","CD:2017-11-15:306"
"http://data.parliament.uk/resources/789922","2017-11-15","European Union (Withdrawal) Bill: Committee of the whole House New Clause 30","CD:2017-11-15:307"
"http://data.parliament.uk/resources/789923","2017-11-15","European Union (Withdrawal) Bill: Committee of the whole House New Clause 67","CD:2017-11-15:308"
"http://data.parliament.uk/resources/789924","2017-11-15","European Union (Withdrawal) Bill: Committee of the whole House Amdt 70","CD:2017-11-15:309"
"http://data.parliament.uk/resources/788772","2017-11-14","EU (Withdrawal) Bill: Committee of the whole House Amdt 79","CD:2017-11-14:300"
"http://data.parliament.uk/resources/788773","2017-11-14","EU (Withdrawal) Bill: Committee of the whole House Clause 1","CD:2017-11-14:301"
"http://data.parliament.uk/resources/788941","2017-11-14","EU (Withdrawal) Bill: Committee of the whole House New Clause 14","CD:2017-11-14:302"
"http://data.parliament.uk/resources/788942","2017-11-14","EU (Withdrawal) Bill: Committee of the whole House Amdt 137","CD:2017-11-14:303"
"http://data.parliament.uk/resources/788943","2017-11-14","EU (Withdrawal) Bill: Committee of the whole House Amdt 278","CD:2017-11-14:304"
"http://data.parliament.uk/resources/783133","2017-11-03","Motion to sit in private","CD:2017-11-03:299"
"http://data.parliament.uk/resources/780710","2017-10-31","Finance Bill: Report Stage New Clause 1","CD:2017-10-31:294"
"http://data.parliament.uk/resources/780713","2017-10-31","Finance Bill: Report Stage Amdt 1","CD:2017-10-31:295"
"http://data.parliament.uk/resources/780714","2017-10-31","Finance Bill: Report Stage Amdt 11","CD:2017-10-31:296"
"http://data.parliament.uk/resources/780715","2017-10-31","Finance Bill: Report New Clause 2","CD:2017-10-31:297"
"http://data.parliament.uk/resources/780719","2017-10-31","Finance Bill: Third Reading","CD:2017-10-31:298"
"http://data.parliament.uk/resources/776386","2017-10-24","Smart Meters  Bill (Programme)","CD:2017-10-24:293"
"http://data.parliament.uk/resources/776007","2017-10-23","Automated and Electric Vehicles Bill (Programme motion)","CD:2017-10-23:292"
